Dark-Light,Size,Salinity,Concentration,Distance_moved_Total,Velocity_Mean,Meander,Turn angle,Angular velocity,In_zone_Frequency,In_zone_Cumulative_duration,Movement_Mean,Movement,Freezing_Mean,Freezing_Frequency,Freezing_duration,,
Light_2,LT,5,Light_2-LT-5,0.434229,0.217117,-2786.34,-30.175,-905.259,0,0,,0,1.99998,1,1.99998,,
Light_2,LT,5,Light_2-LT-5,0.581675,0.29084,3569.01,-0.480142,-14.4044,1,1.99998,,0,1.99998,1,1.99998,,
Light_3,LT,5,Light_3-LT-5,0.458771,0.229388,-5686.04,16.4231,492.699,0,0,,0,1.99998,1,1.99998,,
Light_3,LT,5,Light_3-LT-5,0.604982,0.302494,63895.7,6.35477,190.645,6,1.56665,,0,1.99998,1,1.99998,,
Light_3,LT,5,Light_3-LT-5,0.568322,0.284164,-5591.66,-29.7377,-892.141,0,0,,0,1.99998,1,1.99998,,
Light_3,LT,5,Light_3-LT-5,0.645893,0.32295,-630.599,13.4573,403.723,4,1.19999,0.166665,1,1.83332,1,1.83332,,
Dark_1,LT,15,Dark_1-LT-15,41.4109,0.348189,912.571,2.60296,78.0897,17,95.099,0.164813,18,6.12099,19,116.299,,
Dark_1,LT,15,Dark_1-LT-15,23.3977,0.195091,-1540.8,-1.30492,-39.1479,12,33.9663,,0,119.999,1,119.999,,
Dark_1,LT,15,Dark_1-LT-15,32.9063,0.283352,4051.64,3.64783,109.436,9,36.1996,0.153332,10,10.4454,11,114.899,,
Dark_1,LT,15,Dark_1-LT-15,26.8867,0.224183,639.908,3.14664,94.4001,1,119.999,0.142856,7,14.8749,8,118.999,,
Dark_2,LT,15,Dark_2-LT-15,0.343664,0.171834,9545.48,3.60394,108.119,1,1.99998,,0,1.99998,1,1.99998,,
Dark_2,LT,15,Dark_2-LT-15,0.236063,0.118033,-8419.7,-33.7715,-1013.15,0,0,,0,1.99998,1,1.99998,,
Dark_2,LT,15,Dark_2-LT-15,0.129136,0.0645688,10637.9,2.67282,80.1855,1,1.99998,,0,1.99998,1,1.99998,,
Dark_2,LT,15,Dark_2-LT-15,0.524407,0.262206,2359.82,15.0387,451.165,1,1.99998,,0,1.99998,1,1.99998,,
Dark_3,LT,15,Dark_3-LT-15,0.214913,0.107457,-8289.82,-15.5014,-465.046,1,1.99998,0.033333,1,1.96665,1,1.96665,,
Dark_3,LT,15,Dark_3-LT-15,0.260694,0.130348,-1961.11,8.12143,243.645,0,0,,0,1.99998,1,1.99998,,
Dark_3,LT,15,Dark_3-LT-15,0.217067,0.108535,23405.7,13.1772,395.32,1,1.99998,,0,1.99998,1,1.99998,,
Dark_3,LT,15,Dark_3-LT-15,0.936199,0.468104,-9258.89,5.34974,160.494,1,1.99998,,0,1.99998,1,1.99998,,
Light_1,LT,15,Light_1-LT-15,126.065,1.17783,1578.98,-0.277513,-8.32548,61,83.9658,0.247824,46,3.97063,25,99.2657,,
Light_1,LT,15,Light_1-LT-15,24.9609,0.208241,-444.952,-0.212881,-6.3865,19,23.4664,0.133332,4,23.8931,5,119.465,,
Light_1,LT,15,Light_1-LT-15,22.2345,0.185495,3507.83,1.59905,47.9721,49,87.6325,0.154165,8,13.1962,9,118.765,,
Light_1,LT,15,Light_1-LT-15,31.8367,0.265604,1336.37,0.400124,12.0039,91,39.9996,0.161903,7,14.8582,8,118.865,,
Light_2,LT,15,Light_2-LT-15,0.67976,0.339883,-21534.4,13.6179,408.541,1,1.99998,0.133332,1,1.86665,1,1.86665,,
Light_2,LT,15,Light_2-LT-15,0.266613,0.133308,-2313.91,-4.1543,-124.63,0,0,,0,1.99998,1,1.99998,,
Light_2,LT,15,Light_2-LT-15,0.387711,0.193858,440.732,-12.7333,-382.001,1,1.99998,,0,1.99998,1,1.99998,,
Light_2,LT,15,Light_2-LT-15,0.612063,0.306035,-7171.74,-18.0725,-542.18,1,1.99998,,0,1.99998,1,1.99998,,
